Type,ProductId,Changes,,,Timestamp
l2update,BTC-USD,[['buy', '18207.30', '0.00000000']],2023-01-12T04:39:07.720230Z
l2update,BTC-USD,[['buy', '18207.86', '0.32900000']],2023-01-12T04:39:07.728923Z
l2update,BTC-USD,[['sell', '18212.98', '0.00000000']],2023-01-12T04:39:07.731665Z
l2update,BTC-USD,[['sell', '18213.55', '0.32900000']],2023-01-12T04:39:07.741629Z
l2update,BTC-USD,[['sell', '18228.32', '0.36000364']],2023-01-12T04:39:07.761948Z
l2update,BTC-USD,[['sell', '18210.93', '0.12835075']],2023-01-12T04:39:07.779317Z
l2update,BTC-USD,[['sell', '18210.97', '0.66664640']],2023-01-12T04:39:07.787117Z
l2update,BTC-USD,[['sell', '18210.05', '0.03458467']],2023-01-12T04:39:07.976165Z
l2update,BTC-USD,[['sell', '18210.97', '0.63918936']],2023-01-12T04:39:07.976319Z
l2update,BTC-USD,[['sell', '18211.18', '0.00000000']],2023-01-12T04:39:07.979791Z
l2update,BTC-USD,[['sell', '18211.25', '0.10000000']],2023-01-12T04:39:07.980054Z
l2update,BTC-USD,[['sell', '18211.18', '0.02745685']],2023-01-12T04:39:07.985276Z
l2update,BTC-USD,[['sell', '18211.54', '0.06745713']],2023-01-12T04:39:07.990053Z
l2update,BTC-USD,[['sell', '18211.54', '0.09491398']],2023-01-12T04:39:07.990165Z
l2update,BTC-USD,[['buy', '14300.00', '10.17140934']],2023-01-12T04:39:07.995369Z
l2update,BTC-USD,[['sell', '18211.51', '0.05524451']],2023-01-12T04:39:08.002477Z
l2update,BTC-USD,[['sell', '18210.94', '0.00000000']],2023-01-12T04:39:08.003961Z
l2update,BTC-USD,[['sell', '18210.91', '0.01000000']],2023-01-12T04:39:08.010600Z
l2update,BTC-USD,[['sell', '18210.92', '0.07000000']],2023-01-12T04:39:08.010611Z
l2update,BTC-USD,[['sell', '18211.56', '0.00000000']],2023-01-12T04:39:08.013985Z
l2update,BTC-USD,[['sell', '18210.92', '0.02000000']],2023-01-12T04:39:08.016442Z
l2update,BTC-USD,[['sell', '18210.92', '0.00000000']],2023-01-12T04:39:08.016472Z
